inference-lb-1  | 172.20.0.13:58066 [23/Oct/2025:17:12:46.950] inference_fe inference_be/srv1 0/0/0/4/5 200 226 - - ---- 4/4/2/2/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.10:50368 [23/Oct/2025:17:12:46.950] inference_fe inference_be/srv1 0/0/1/5/6 200 226 - - ---- 4/4/1/1/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.12:47382 [23/Oct/2025:17:12:46.951] inference_fe inference_be/srv1 0/0/0/6/6 200 226 - - ---- 4/4/0/0/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.11:43644 [23/Oct/2025:17:12:48.944] inference_fe inference_be/srv1 0/0/0/2/2 200 241 - - ---- 5/5/0/0/0 0/0 "GET /predict_ping HTTP/1.1"
inference-lb-1  | 172.20.0.12:57066 [23/Oct/2025:17:12:49.003] inference_fe inference_be/srv1 0/0/0/7/8 200 241 - - ---- 6/6/2/2/0 0/0 "GET /predict_ping HTTP/1.1"
inference-lb-1  | 172.20.0.10:35222 [23/Oct/2025:17:12:49.003] inference_fe inference_be/srv1 0/0/0/7/8 200 241 - - ---- 6/6/1/1/0 0/0 "GET /predict_ping HTTP/1.1"
inference-lb-1  | 172.20.0.13:45222 [23/Oct/2025:17:12:49.003] inference_fe inference_be/srv1 0/0/0/8/9 200 241 - - ---- 6/6/0/0/0 0/0 "GET /predict_ping HTTP/1.1"
inference-lb-1  | 172.20.0.11:43722 [23/Oct/2025:17:12:50.520] inference_fe inference_be/srv1 0/0/1/19/53 200 226 - - ---- 73/73/39/39/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.11:43716 [23/Oct/2025:17:12:50.521] inference_fe inference_be/srv1 0/0/0/20/53 200 226 - - ---- 73/73/38/38/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.11:43714 [23/Oct/2025:17:12:50.520] inference_fe inference_be/srv1 0/0/0/21/53 200 226 - - ---- 73/73/37/37/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.11:43708 [23/Oct/2025:17:12:50.521] inference_fe inference_be/srv1 0/0/0/20/53 200 226 - - ---- 73/73/36/36/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.11:43700 [23/Oct/2025:17:12:50.521] inference_fe inference_be/srv1 0/0/1/60/65 200 226 - - ---- 73/73/35/35/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.11:43690 [23/Oct/2025:17:12:50.521] inference_fe inference_be/srv1 0/0/0/60/64 200 226 - - ---- 73/73/34/34/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.11:43678 [23/Oct/2025:17:12:50.521] inference_fe inference_be/srv1 0/0/0/61/64 200 226 - - ---- 73/73/33/33/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.11:43696 [23/Oct/2025:17:12:50.521] inference_fe inference_be/srv1 0/0/0/61/65 200 226 - - ---- 73/73/32/32/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.11:43672 [23/Oct/2025:17:12:50.522] inference_fe inference_be/srv1 0/0/0/61/64 200 226 - - ---- 73/73/31/31/0 0/0 "GET /healthz HTTP/1.1"
inference-lb-1  | 172.20.0.11:43658 [23/Oct/2025:17:12:50.521] inference_fe inference_be/srv1 0/0/1/61/65 200 226 - - ---- 73/73/30/30/0 0/0 "GET /healthz HTTP/1.1"
