inference-lb-1  | 172.18.0.1:52440 [23/Oct/2025:18:03:36.876] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/54/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51672 [23/Oct/2025:18:03:36.893] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/54/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52462 [23/Oct/2025:18:03:36.894] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/54/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51806 [23/Oct/2025:18:03:36.897] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/54/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51438 [23/Oct/2025:18:03:28.956] inference_fe inference_be/srv1 0/0/0/7831/7945 200 479 - - ---- 200/200/53/53/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52138 [23/Oct/2025:18:03:36.919] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/53/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51566 [23/Oct/2025:18:03:36.921] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/53/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51450 [23/Oct/2025:18:03:36.937] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/53/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52898 [23/Oct/2025:18:03:29.146] inference_fe inference_be/srv1 0/0/0/7737/7807 200 479 - - ---- 200/200/52/52/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52650 [23/Oct/2025:18:03:36.957] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/52/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52592 [23/Oct/2025:18:03:36.964] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/52/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52094 [23/Oct/2025:18:03:36.968] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/52/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52620 [23/Oct/2025:18:03:36.969] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/52/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51852 [23/Oct/2025:18:03:36.973] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/52/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52340 [23/Oct/2025:18:03:29.005] inference_fe inference_be/srv1 0/0/0/7879/7972 200 479 - - ---- 200/200/51/51/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:53000 [23/Oct/2025:18:03:36.980] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/51/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52298 [23/Oct/2025:18:03:36.984] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/51/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51942 [23/Oct/2025:18:03:36.987] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/51/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:52282 [23/Oct/2025:18:03:29.083] inference_fe inference_be/srv1 0/0/0/7805/7906 200 479 - - ---- 200/200/50/50/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51410 [23/Oct/2025:18:03:37.005] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51960 [23/Oct/2025:18:03:37.016] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51480 [23/Oct/2025:18:03:37.022] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51740 [23/Oct/2025:18:03:37.034] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
inference-lb-1  | 172.18.0.1:51382 [23/Oct/2025:18:03:37.045] inference_fe inference_be/<NOSRV> 0/-1/-1/-1/0 503 217 - - SC-- 200/200/50/0/0 0/0 "POST /predict HTTP/1.1"
